movie_id;imdb_id;title;description;directors;writers;stars;runtime;budget;gross
1;0114709;O'yinchoqlar hikoyasi (1995);O'yinchoqlar hikoyasi: Directed by John Lasseter. With Tom Hanks, Tim Allen, Don Rickles, Jim Varney. A cowboy doll is profoundly threatened and jealous when a new spaceman action figure supplants him as top toy in a boy's bedroom.;John Lasseter;John Lasseter, Pete Docter, Andrew Stanton;Tom Hanks, Tim Allen, Don Rickles;1 hour 21 minutes;$30,000,000 (estimated);$394,436,586
2;0113497;Jumanji (1995);Jumanji: Directed by Joe Johnston. With Robin Williams, Jonathan Hyde, Kirsten Dunst, Bradley Pierce. When two kids find and play a magical board game, they release a man trapped in it for decades - and a host of dangers that can only be stopped by finishing the game.;Joe Johnston;Jonathan Hensleigh, Greg Taylor, Jim Strain;Robin Williams, Kirsten Dunst, Bonnie Hunt;1 hour 44 minutes;$65,000,000 (estimated);$262,821,940
3;0113228;Grumpier Old Men (1995);Grumpier Old Men: Directed by Howard Deutch. With Walter Matthau, Jack Lemmon, Ann-Margret, Sophia Loren. John and Max resolve to save their beloved bait shop from turning into an Italian restaurant, just as its new female owner catches Max's attention.;Howard Deutch;;Walter Matthau, Jack Lemmon, Ann-Margret;1 hour 41 minutes;$25,000,000 (estimated);$71,518,503
4;0114885;Waiting to Exhale (1995);Waiting to Exhale: Directed by Forest Whitaker. With Whitney Houston, Angela Bassett, Loretta Devine, Lela Rochon. Based on Terry McMillan's novel, this film follows four very different African-American women and their relationships with men.;Forest Whitaker;Terry McMillan, Ron Bass;Whitney Houston, Angela Bassett, Loretta Devine;2 hours 4 minutes;$16,000,000 (estimated);$81,452,156
5;0113041;Father of the Bride Part II (1995);Father of the Bride Part II: Directed by Charles Shyer. With Steve Martin, Diane Keaton, Martin Short, Kimberly Williams-Paisley. George Banks must deal not only with his daughter's pregnancy, but also with his wife's.;Charles Shyer;Albert Hackett, Frances Goodrich, Nancy Meyers;Steve Martin, Diane Keaton, Martin Short;1 hour 46 minutes;$30,000,000 (estimated);$76,594,107
6;0113277;To'qnashuv (1995);To'qnashuv: Directed by Michael Mann. With Al Pacino, Robert De Niro, Val Kilmer, Jon Voight. A group of high-end professional thieves start to feel the heat from the LAPD when they unknowingly leave a verbal clue at their latest heist.;Michael Mann;;Al Pacino, Robert De Niro, Val Kilmer;2 hours 50 minutes;$60,000,000 (estimated);$187,436,818
7;0114319;Sabrina (1995);Sabrina: Directed by Sydney Pollack. With Harrison Ford, Julia Ormond, Greg Kinnear, Nancy Marchand. An ugly duckling having undergone a remarkable change, still harbors feelings for her crush: a carefree playboy, but not before his business-focused brother has something to say about it.;Sydney Pollack;Samuel A. Taylor, Billy Wilder, Ernest Lehman;Harrison Ford, Julia Ormond, Greg Kinnear;2 hours 7 minutes;$58,000,000 (estimated);$53,696,959
8;0112302;Tom and Huck (1995);Tom and Huck: Directed by Peter Hewitt. With Jonathan Taylor Thomas, Brad Renfro, Eric Schweig, Charles Rocket. Two best friends witness a murder and embark on a series of adventures in order to prove the innocence of the man wrongly accused of the crime.;Peter Hewitt;;Jonathan Taylor Thomas, Brad Renfro, Charles Rocket;1 hour 37 minutes;Unknown Budget;$23,920,048
9;0114576;Sudden Death (1995);Sudden Death: Directed by Peter Hyams. With Jean-Claude Van Damme, Powers Boothe, Raymond J. Barry, Whittni Wright. A former fireman takes on a group of terrorists holding the Vice President and others hostage during the seventh game of the NHL Stanley Cup finals.;Peter Hyams;;Jean-Claude Van Damme, Powers Boothe, Raymond J. Barry;1 hour 51 minutes;$35,000,000 (estimated);$64,350,171
10;0113189;GoldenEye (1995);GoldenEye: Directed by Martin Campbell. With Pierce Brosnan, Sean Bean, Izabella Scorupco, Famke Janssen. When a powerful secret defense system is stolen, James Bond is assigned to stop a Russian crime syndicate from using it.;Martin Campbell;Ian Fleming, Michael France, Jeffrey Caine;Pierce Brosnan, Sean Bean, Izabella Scorupco;2 hours 10 minutes;$60,000,000 (estimated);$352,194,034
11;0112346;The American President (1995);The American President: Directed by Rob Reiner. With Michael Douglas, Annette Bening, Martin Sheen, Michael J. Fox. A widowed U.S. President running for reelection and an environmental lobbyist fall in love. It's all above-board, but "politics is perception," and sparks fly anyway.;Rob Reiner;;Michael Douglas, Annette Bening, Martin Sheen;1 hour 54 minutes;$62,000,000 (estimated);$107,879,496
12;0112896;Dracula: Dead and Loving It (1995);Dracula: Dead and Loving It: Directed by Mel Brooks. With Leslie Nielsen, Peter MacNicol, Steven Weber, Amy Yasbeck. Mel Brooks' parody of the classic vampire story and its famous film adaptations.;Mel Brooks;Mel Brooks, Rudy De Luca, Steve Haberman;Leslie Nielsen, Mel Brooks, Peter MacNicol;1 hour 28 minutes;$30,000,000 (estimated);$10,772,144
